name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,96.4848484848,478.712121212,3.22641509434,3.81967213115,81.3333333333,47.5757575758,31.6515151515,15.7727272727,12.0303030303,5.09836065574,8.609375
Chris Guccione,201.0,160.385714286,363.757142857,15.2285714286,3.74603174603,87.8142857143,52.5285714286,41.2857142857,18.4,13.8285714286,4.62295081967,6.35384615385
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,250.583333333,211.708333333,3.27272727273,3.27272727273,76.6666666667,44.9166666667,30.125,16.0416666667,11.625,5.80952380952,8.65217391304
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,62.4971751412,649.474576271,4.32352941176,2.41549295775,72.418079096,44.4858757062,30.384180791,13.593220339,11.3672316384,3.8961038961,7.01234567901
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,75.7919708029,565.467153285,5.84108527132,2.88510638298,80.7445255474,46.0,32.1824817518,16.7226277372,12.2883211679,4.79761904762,7.87169811321
Michael Lammer,185.0,262.333333333,141.222222222,3.33333333333,3.77777777778,82.6666666667,47.6666666667,29.1111111111,15.6666666667,12.8888888889,5.22222222222,10.3333333333
Dusan Vemic,190.0,309.80952381,126.238095238,8.09523809524,4.0,75.4761904762,48.0476190476,33.380952381,14.6666666667,12.0,3.95,6.19047619048
Adrian Garcia,175.0,182.125,273.8125,3.0,3.13333333333,69.0625,41.21875,27.40625,14.03125,10.46875,5.28,7.38709677419
Igor Kunitsyn,180.0,105.105769231,423.894230769,2.77777777778,2.66279069767,74.3269230769,42.9903846154,27.8076923077,15.5961538462,11.2115384615,5.04301075269,8.24752475248
Julien Benneteau,185.0,80.0301507538,569.472361809,4.65405405405,3.36559139785,75.9447236181,49.1206030151,32.7286432161,13.0,11.8181818182,4.70810810811,7.91623036649
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,115.991071429,483.026785714,4.30097087379,2.50561797753,74.5892857143,43.2589285714,29.5446428571,14.7053571429,11.3482142857,5.00980392157,8.00917431193
David Sherwood,193.0,261.0,142.0,6.0,5.0,84.5,43.0,31.0,23.0,14.0,3.5,6.5
Nenad Zimonjic,190.0,463.428571429,73.6428571429,9.07142857143,4.57142857143,83.2142857143,51.8571428571,37.2142857143,15.2857142857,12.5714285714,4.16666666667,6.76923076923
Juan Giner,178.0,315.0,122.0,1.66666666667,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2
Julien Jeanpierre,188.0,170.2,233.6,4.25,4.2,93.4,61.2,41.2,14.8,14.2,9.5,11.2
Igor Andreev,185.0,54.6555555556,809.692592593,5.24489795918,2.81276595745,79.4111111111,50.7148148148,35.5185185185,15.1925925926,12.5259259259,4.20081967213,6.53639846743
Michael Kohlmann,188.0,226.184210526,236.842105263,5.72222222222,3.64864864865,76.4736842105,46.9210526316,33.6216216216,13.6052631579,11.7894736842,4.02857142857,6.92105263158
Cecil Mamiit,173.0,130.505617978,326.741573034,3.85333333333,3.0987654321,79.2471910112,46.1348314607,30.6404494382,15.9101123596,12.1011235955,5.66666666667,9.20930232558
Eduardo Schwank,183.0,87.1290322581,559.387096774,5.11111111111,2.75862068966,82.4516129032,52.4838709677,36.5161290323,16.0322580645,12.4193548387,5.13793103448,7.62068965517
Taylor Dent,188.0,64.9365853659,769.429268293,7.64179104478,5.93,76.8195121951,44.0341463415,32.9853658537,16.3024390244,12.1414634146,4.20111731844,6.37755102041
Edouard Roger Vasselin,188.0,139.272727273,330.090909091,2.63636363636,2.38095238095,77.9090909091,51.7272727273,33.6363636364,11.9090909091,12.1818181818,4.68421052632,8.2380952381
Marcin Matkowski,188.0,726.0,15.0,0.0,6.0,36.0,12.0,3.0,7.0,7.0,1.0,7.0
