htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,handDiff,h2hDiff,result
10.0,-1.3771389459,11.0,-2890.0,3.83333349228,0.625,-17.9583358765,-11.25,-3.16666793823,-4.08333396912,-2.58333396912,-0.791666507721,-2.5,0,1,1
8.0,0.3832991102,-13.0,3258.33349609,8.33333396912,1.04166674614,4.45833587646,-0.583332061768,-1.0,3.58333396912,0.75,-1.20833325386,-1.5,0,-1,0
-5.0,-4.7556468173,1.0,-220.0,-7.20833349228,-1.5,-0.791664123535,4.75,0.291667938232,-4.79166603088,-0.416666030884,1.16666650772,2.0,0,1,1
-11.0,4.566735113,6.0,-2113.33349609,-12.8333339691,-1.61111116409,4.94444274902,11.9999961853,4.94444274902,-2.16666793823,0.888889312744,1.61111092567,2.16666650772,1,0,0
-5.0,1.2183436003,-41.1428565979,2340.28564453,-5.0,-1.58730149269,-5.93650817871,2.23809051514,1.44444274902,-0.476190567017,-0.253967285156,-1.36507940292,-2.76190519333,0,1,1
-2.0,-9.3141683778,-23.0,978.400024414,3.30000019073,-0.875,13.375,10.0499992371,12.2999992371,2.44999980927,2.25,1.375,0.0,0,1,1
-10.0,0.8733744011,-28.5999984741,3906.0,0.0749998092651,-1.80000019073,1.125,2.34999847412,0.575000762939,4.32500076294,0.25,-1.40000009537,-2.69999980927,0,2,1
-5.0,-2.431211499,55.6666641235,-2485.0,1.33333349228,2.77777791023,-4.77777862549,-14.6666641235,-10.444442749,-2.33333301544,-2.5555562973,1.22222232819,3.33333349228,-1,-1,0
-5.0,1.6810403833,15.0,-252.599975586,-0.533333301544,3.33333349228,13.6666641235,-3.86666870117,-5.20000076294,8.86666584015,0.0,3.66666650772,4.66666698456,0,-1,0
0.0,-1.3908281999,-16.1428565979,745.0,0.5,-0.303571462631,16.0892868042,15.1071434021,11.0714302063,-0.32142829895,2.10714244843,1.94642853737,1.85714292526,0,1,1
18.0,-10.5544147844,5.75,-353.75,10.5,-0.25,23.0,15.5,12.75,3.25,3.75,-0.25,0.75,0,-1,0
13.0,-2.7871321013,-53.5333328247,759.0,4.40000009537,2.59999990463,-0.0666656494141,-9.86666870117,-2.46666717529,4.33333396912,0.0,-0.933333158493,-2.0,1,-1,0
15.0,0.1943874059,-56.0,379.25,1.5,0.75,0.0,-3.0,-0.75,3.75,0.0,0.25,-1.25,0,1,1
10.0,-3.8466803559,-45.0,717.666687012,4.0,2.33333325386,-22.6666641235,-20.0000038147,-8.66666793823,-2.66666603088,-4.33333396912,-0.66666674614,-3.66666698456,1,1,1
13.0,3.1567419575,-427.0,877.0,10.25,3.5,14.75,-7.25,6.0,9.0,4.25,-4.75,-5.25,0,1,1
9.0,0.0191649555,-68.0,649.25,-5.75,-1.75,28.5,38.0,19.75,-2.0,4.25,3.5,4.5,1,-1,0
3.0,7.1266255989,2.69999694824,-20.5,2.59999990463,-3.59999990463,-9.59999847412,8.70000076294,3.79999923706,-6.5,-1.0,-2.40000009537,-3.5,0,1,1
6.0,-4.2026009583,-39.5,309.0,-3.75,0.5,4.75,-8.25,-6.0,9.0,-0.75,-1.75,-3.25,0,1,1
-7.0,-6.1218343601,30.3333358765,-127.583312988,6.41666698456,1.75,19.4166641235,9.41666793823,10.75,6.25,2.91666698456,-0.333333492279,-1.66666698456,0,1,1
2.0,-6.4038329911,-5.33333587646,20.5,-4.16666698456,-1.5,3.66666412354,9.66666412354,3.66666793823,-2.0,-0.166666984558,3.83333301544,2.5,0,-1,0
-2.0,-0.0191649555,1.0,-694.286132812,-3.47619104385,0.16666674614,7.7857131958,6.0714302063,4.40476226807,3.95238018036,1.30952453613,1.45238089561,0.738095283508,0,1,1
6.0,1.6563997262,9.0,-9414.28613281,0.65714263916,-1.20000004768,-18.1142883301,-12.4285697937,-6.62857055664,-0.91428565979,-2.05714225769,-0.314285516739,-1.42857122421,0,-1,0
0.0,-3.5154004107,-39.5999984741,10731.0,1.66666650772,0.766666650772,16.6999969482,8.5,10.8333320618,6.46666622162,3.56666660309,-1.03333330154,-1.63333368301,-1,2,1
-7.0,1.7303216975,42.4000015259,-11450.4863281,-0.94285774231,-0.599999904633,-19.9142837524,-20.4285697937,-16.6285705566,1.68571376801,-3.65714263916,0.485714435577,0.371428966522,0,-1,0
8.0,-0.4188911705,-2.0,535.714355469,-3.91428565979,-0.485714435577,-14.1142883301,-9.5714302063,-7.62857055664,-3.77142810822,-2.77142810822,0.400000095367,0.857142925262,0,1,1
20.0,4.7118412046,-21.0999984741,746.0,28.5,3.34999990463,26.9499969482,19.5,25.75,4.80000019073,7.64999961853,-1.19999980927,-1.80000019073,-1,-1,0
3.0,-8.4818617385,-102.5,11203.5,-0.833333492279,-3.08333325386,15.75,16.25,14.0833320618,3.41666603088,3.91666698456,-1.83333349228,-3.08333349228,0,1,1
5.0,-1.8480492813,11.5666675568,-314.53338623,1.86666631699,0.566666722298,-18.3666610718,-20.5,-17.2000007629,0.39999961853,-4.13333320618,0.366666793823,0.466666698456,0,1,1
-8.0,-0.3559206023,-57.3333358765,1802.28564453,9.38095283508,-2.38095211983,1.7142868042,0.571430206299,8.4285697937,2.23809432983,2.23809528351,-3.66666650772,-5.85714292526,0,1,1
25.0,7.06091718,30.5999984741,-1701.0,-1.80000019073,0.400000095367,4.80000305176,10.5999984741,4.0,-4.80000019073,-0.199999809265,0.0,0.0,1,1,1
0.0,-2.0670773443,-68.0,11057.0,-10.6666660309,-1.83333325386,-38.5,-24.1666641235,-21.5000038147,-9.33333396912,-7.16666698456,1.49999976158,1.16666650772,-1,1,1
-2.0,0.2518822724,70.0,-11764.2861328,-1.89285755157,2.5,-11.9642868042,-6.9285697937,-10.9285697937,-3.46428585052,-3.60714244843,6.53571414948,7.57142877579,0,-1,0
0.0,3.6824093087,-1.56666946411,39.200012207,-0.366666316986,1.76666641235,51.3666610718,36.5,26.7000007629,7.76666641235,7.80000019073,2.96666646004,3.36666679382,0,-1,0
-7.0,0.2628336756,-24.6666660309,519.333374023,-2.66666650772,-3.16666650772,-5.33333587646,3.75,5.5,-2.75,0.583333015442,-3.66666674614,-4.91666650772,0,1,1
-13.0,-4.6981519507,118.0,-2585.0,-2.80000019073,0.200000047684,-0.599998474121,-1.0,-4.79999923706,-0.800000190735,-1.80000019073,-0.400000095367,0.0,1,-1,0
3.0,5.8507871322,-34.3333320618,1550.95239258,7.38095235825,-0.0476188659668,0.380950927734,2.90476226807,7.76190185547,3.23809528351,-0.42857170105,-0.33333325386,-4.19047641754,0,1,1
-23.0,-8.5256673511,64.0,-1130.5,-27.5,-2.25,-23.75,-20.0,-23.25,-3.5,-5.25,-3.0,-2.0,0,-1,0
5.0,-6.6036960986,91.4000015259,-602.0,12.0,0.0999999046326,22.6999969482,8.0,10.5,2.80000019073,3.89999961853,0.800000190735,3.19999980927,-1,-1,0
-27.0,-3.6714579055,-47.5,1955.0,-4.19999980927,0.5,-7.0,-7.59999847412,-4.5,1.5,-0.699999809265,1.69999980927,0.800000190735,0,1,1
-2.0,-6.5544147844,-68.5,591.5,0.900000095367,-3.84999990463,-6.34999847412,-5.25,-3.35000038147,0.75,-0.64999961853,-0.599999904633,-1.25,0,-1,0
2.0,1.5605749486,-20.6666679382,180.0,-4.66666603088,-2.66666674614,-24.3333358765,-20.3333282471,-18.6666679382,-4.33333396912,-6.33333396912,2.66666674614,2.33333349228,-1,-1,0
3.0,2.7515400411,10.3428573608,-419.0,-0.800000190735,-0.971428632736,-28.3142852783,-15.257144928,-8.77143096924,-7.62857246399,-2.65714263916,-1.37142848969,-1.25714302063,0,-1,0
-3.0,-5.6153319644,-49.2000007629,1049.0,2.55000019073,-2.09999990463,21.8499984741,9.90000152588,12.7000007629,10.9500007629,4.55000019073,-5.44999980927,-7.59999990463,0,1,1
18.0,4.6625598905,-13.1428565979,510.0,18.75,1.07142853737,55.2142868042,48.8571434021,37.3214302063,5.42857170105,8.10714244843,4.57142829895,4.10714292526,0,-1,0
13.0,0.5229295004,33.3333358765,-446.0,-3.06666684151,2.26666641235,8.59999847412,12.0,5.60000038147,-0.666666030884,1.73333263397,0.266666412354,1.0,0,-1,0
15.0,-5.0102669405,37.5,-990.0,5.5,-2.0,8.0,-1.0,-3.0,4.0,0.0,0.0,2.0,0,1,1
-2.0,0.3832991102,63.7000007629,-1111.0,1.19999980927,0.599999904633,-16.0999984741,-6.40000152588,-4.45000076294,-9.95000076294,-2.30000019073,0.700000047684,1.84999990463,0,-1,0
8.0,-6.3627652293,-28.8571434021,566.0,4.0,0.428571462631,10.2857131958,7.1428565979,4.4285697937,-2.42857170105,1.14285755157,2.42857146263,3.14285707474,0,1,1
-21.0,1.2648870636,37.5,-1031.0,-18.75,1.5,-33.0,-40.25,-35.25,-1.25,-6.5,-0.5,2.0,0,-1,0
0.0,3.0335386721,-24.0,387.0,3.40000009537,1.40000009537,10.4000015259,0.0,6.39999961853,2.0,0.60000038147,1.40000009537,1.0,-1,1,1
-5.0,-8.9253935661,12.8333358765,-60.3333129883,7.66666698456,1.0,13.1666641235,10.6666679382,11.75,1.25,2.16666698456,0.166666507721,-1.41666698456,0,1,1
-3.0,9.6043805613,21.8571434021,-486.0,-3.33333349228,3.90476202965,16.3809509277,1.19047546387,-6.4285697937,6.09523773193,-0.142857551575,4.23809528351,6.52380990982,0,-1,0
13.0,2.6502395619,10.0,-471.666625977,5.66666698456,1.0,12.5,8.5,8.83333206177,1.5,1.66666698456,-1.83333325386,-2.5,1,1,1
-15.0,-4.1122518823,15.6666679382,-246.666625977,2.80000019073,3.0,30.5333328247,14.9333305359,15.5999984741,6.20000076294,2.53333377838,3.33333349228,2.06666660309,0,1,1
10.0,-4.1560574949,-9.23333358765,226.0,4.96666669846,0.633333683014,-16.1666641235,-9.09999847412,-3.70000076294,-5.36666679382,-1.0,-0.766666412354,0.033332824707,0,2,1
-10.0,-3.9452429843,-17.0,673.400024414,1.80000019073,-1.0,0.5,-0.700000762939,-0.700000762939,2.69999980927,0.0,1.5,0.5,0,1,1
-2.0,-1.6262833676,52.6666679382,-499.666625977,0.0,0.0,8.33333587646,3.33333206177,4.0,2.0,0.333333015442,0.333333492279,-1.33333301544,0,-1,0
7.0,-2.0013689254,6.74285507202,-134.085693359,1.80000019073,0.74285697937,32.9142837524,32.4285736084,23.2000007629,-0.25714302063,5.94285678864,2.94285702705,3.62857151031,1,1,1
