htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,result
0.0,-7.6933607118,-85.4943313599,474.642791748,-0.958071351051,-1.61530387402,-12.060585022,-1.67861557007,0.065408706665,-4.76540851593,-1.59811306,-0.777568340302,-2.22935009003,1
-3.0,-1.6153319644,-171.666656494,31.0,2.33333325386,-1.33333337307,27.6666679382,18.3333320618,19.0,3.66666698456,3.0,2.0,0.0,0
-7.0,-10.507871321,136.280685425,-112.350883484,-0.0175438821316,0.982456088066,-25.9649162292,-23.8596534729,-9.59649085999,0.157894611359,-2.85964870453,-1.5789475441,-4.22807025909,1
-7.0,0.0793976729,-85.9940490723,634.489624023,1.48271846771,-0.205062627792,1.81954956055,-6.33654022217,-1.79407119751,4.62212371826,0.179460525513,-0.341991424561,-0.74199962616,0
-2.0,1.1471594798,-208.723083496,445.153839111,0.884615421295,-0.0461537837982,28.1076889038,26.0153846741,17.1538467407,1.0846157074,3.91538476944,1.79999995232,2.13846158981,1
7.0,-2.6338124572,35.1504211426,-91.8053741455,2.63619828224,-0.381658554077,-9.85139465332,-14.721244812,-6.63498878479,3.26513195038,-0.886198997498,-1.4421916008,-2.36985445023,0
7.0,3.0937713895,542.385498047,-617.784912109,-0.122905015945,2.08798885345,-1.28211975098,-6.6201133728,-3.69413375854,2.03631305695,-1.15223503113,1.41061449051,1.11871528625,1
-10.0,2.8665297741,-69.1226730347,325.613372803,0.371999979019,-1.56533324718,-4.68799591064,-2.41466522217,-1.51066589355,-0.489334106445,-0.555999755859,-0.248000144958,-0.658666610718,0
12.0,-1.8699520876,-50.7052764893,139.128051758,0.475517988205,0.97834277153,6.72975921631,17.0640335083,10.1704330444,-5.0715637207,1.24764633179,0.453860282898,0.40301322937,1
-2.0,0.4955509925,-63.6813201904,112.010986328,-0.838827848434,-1.15018296242,-2.89377593994,-1.10256576538,1.18315124512,-0.813186645508,-1.10622692108,0.183149814606,-1.274725914,0
5.0,6.3052703627,-97.1910095215,191.772460938,1.10955047607,-0.633427023888,9.95365142822,1.70084381104,3.88202285767,4.73595523834,0.994381904602,1.49859571457,0.481741905212,1
17.0,7.1813826147,-750.112426758,513.108398438,5.09236955643,2.0843372345,30.0602416992,14.9799175262,18.3413658142,9.1405620575,4.76706838608,1.42971897125,-0.859437465668,0
